age,sex,race,realrinc,educ,hrs1,marital,bible,childs,paeduc,maeduc,degree
56,0,1,NA,12,NA,1,2,3,10,12,0
61,0,1,20430,12,40,1,2,2,12,9,0
76,0,1,5107.5,16,12,2,3,2,8,12,1
59,0,1,14755,16,30,1,2,2,16,16,1
69,1,1,14755,16,30,5,2,0,10,12,1
48,1,3,45400,18,40,5,3,0,14,12,1
68,0,1,37455,20,40,1,2,2,NA,16,1
39,0,1,NA,16,15,5,2,0,16,16,1
38,1,1,20430,18,50,1,3,2,NA,18,1
39,0,1,72640,18,40,5,3,1,18,16,1
52,0,1,NA,12,NA,1,1,4,0,6,0
41,0,1,NA,20,NA,1,4,1,16,14,1
60,1,1,63560,17,40,1,3,3,14,12,1
69,1,1,72640,15,40,1,2,2,16,16,0
60,1,1,54480,13,55,1,3,0,NA,12,0
22,0,3,NA,12,40,5,2,0,4,12,0
33,1,3,4086,16,NA,5,3,0,13,14,0
35,0,3,20430,16,55,1,3,0,12,12,1
38,0,1,4086,12,40,1,1,2,3,0,0
25,0,1,5107.5,15,6,5,3,0,0,0,0
55,1,1,20430,14,40,3,2,2,7,12,0
34,1,1,4086,17,22,1,2,0,16,12,0
49,1,3,NA,11,NA,3,1,0,NA,12,0
18,1,2,NA,12,NA,5,2,0,16,16,0
56,1,3,30645,12,65,3,2,3,10,8,0
19,1,2,NA,12,45,5,1,0,NA,12,0
34,1,2,30645,12,NA,5,3,0,NA,16,0
26,0,2,6242.5,17,40,5,2,0,11,12,1
28,1,1,NA,14,NA,5,3,0,14,12,0
59,0,1,45400,19,40,4,3,2,6,17,1
39,0,2,30645,16,40,5,2,0,12,12,1
77,0,2,NA,13,NA,4,1,4,6,6,0
35,0,2,NA,12,NA,5,1,1,14,12,0
46,0,3,8512.5,16,40,4,2,4,12,16,1
57,1,3,20430,8,32,5,3,0,0,0,0
35,0,3,908,11,40,1,2,4,NA,6,0
58,0,1,12485,12,52,4,1,4,0,3,0
20,0,3,2951,14,30,5,2,0,13,5,0
48,0,3,3405,7,40,1,2,5,6,6,0
51,0,1,6242.5,2,50,4,3,3,NA,2,0
18,0,3,NA,11,NA,5,2,0,NA,12,0
18,0,1,NA,12,NA,5,2,0,12,12,0
41,0,3,17025,12,45,1,2,2,NA,12,0
51,0,3,NA,15,NA,1,2,2,14,6,0
41,0,1,NA,6,NA,1,2,4,0,6,0
71,0,1,NA,13,NA,5,3,1,12,12,0
43,1,1,NA,9,45,5,2,0,0,0,0
53,1,3,NA,16,6,5,1,0,16,5,1
46,1,1,24970,18,53,5,3,0,16,14,0
36,1,1,24970,13,42,1,3,3,NA,12,0
19,1,1,3405,12,45,5,3,0,12,NA,0
65,1,3,12485,14,30,1,1,1,12,0,0
60,0,1,20430,13,40,3,1,0,13,14,0
63,0,1,NA,16,NA,5,2,0,13,12,1
36,1,1,151050.72136000003,20,60,1,3,2,14,14,1
40,0,3,NA,16,NA,1,NA,2,20,12,1
42,0,1,72640,18,40,1,3,3,20,12,1
61,1,1,63560,14,60,4,2,0,12,13,0
27,1,3,37455,16,43,5,NA,0,16,16,1
52,1,1,NA,14,NA,5,2,1,NA,11,0
36,0,2,NA,12,20,5,NA,0,NA,12,0
74,0,1,NA,16,NA,3,1,4,NA,NA,0
36,1,1,30645,20,50,5,3,0,15,12,1
34,1,1,37455,17,50,5,2,0,18,18,1
46,1,3,63560,16,72,3,3,1,12,0,1
21,0,1,908,14,NA,5,3,0,16,15,0
72,0,1,45400,11,NA,3,2,3,NA,9,0
46,1,3,45400,16,60,1,2,2,14,16,1
21,0,1,NA,14,NA,5,3,0,12,16,0
46,1,3,30645,13,60,5,3,1,13,12,0
53,1,3,54480,12,60,3,2,3,12,12,0
74,0,1,NA,18,NA,2,2,4,NA,9,1
70,1,1,NA,6,NA,3,3,1,6,6,0
36,0,3,24970,16,40,1,2,1,12,13,1
57,1,1,NA,11,NA,1,3,1,12,12,0
60,1,1,45400,16,45,5,1,0,18,16,1
53,0,3,10782.5,12,40,3,2,3,0,3,0
69,1,1,10782.5,12,35,1,2,4,6,6,0
38,0,1,30645,16,40,1,2,3,NA,16,1
48,0,1,5107.5,14,10,1,1,3,16,12,0
30,1,3,37455,16,60,5,2,0,19,16,1
29,1,1,63560,13,NA,5,2,0,NA,9,0
68,0,1,NA,16,NA,1,2,2,12,12,1
64,0,1,NA,13,NA,1,2,5,16,12,0
43,1,3,NA,16,NA,1,1,2,9,9,1
69,0,1,NA,12,NA,2,2,1,12,12,0
47,1,1,24970,12,48,1,3,3,16,12,0
